Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
NE,26/01/2023,ETANOL,BRANCA,4.48
NE,23/01/2023,DIESEL S10,TDC DISTRIBUIDORA,6.99
NE,03/01/2023,GASOLINA,DISLUB,4.89
NE,11/01/2023,DIESEL,ALESAT,6.53
NE,11/01/2023,GASOLINA,ALESAT,5.13
NE,11/01/2023,GASOLINA,PETROX DISTRIBUIDORA,5.15
NE,17/01/2023,ETANOL,PETROBAHIA,4.22
NE,18/01/2023,GASOLINA ADITIVADA,LARCO,5.34
NE,04/01/2023,GASOLINA,IPIRANGA,5.34
NE,09/01/2023,DIESEL S10,RAIZEN,6.52
NE,25/01/2023,GASOLINA ADITIVADA,DISLUB,4.49
NE,05/01/2023,GASOLINA ADITIVADA,BRANCA,5.57
NE,16/01/2023,ETANOL,IPIRANGA,4.17
NE,17/01/2023,GASOLINA ADITIVADA,BRANCA,5.2
NE,25/01/2023,GASOLINA,VIBRA ENERGIA,5.22
NE,26/01/2023,DIESEL,IPIRANGA,6.55
NE,25/01/2023,ETANOL,RAIZEN,4.24
NE,03/01/2023,DIESEL,ALESAT,6.7
NE,05/01/2023,DIESEL,IPIRANGA,6.55
NE,10/01/2023,GASOLINA,IPIRANGA,5.19
NE,10/01/2023,ETANOL,DISLUB,4.28
NE,26/01/2023,DIESEL,RAIZEN,6.57
NE,09/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.61
NE,18/01/2023,GNV,BRANCA,4.42
NE,18/01/2023,DIESEL S10,PETROX DISTRIBUIDORA,6.59
NE,17/01/2023,GASOLINA ADITIVADA,SP,5.31
NE,24/01/2023,GASOLINA,VIBRA ENERGIA,5.02
NE,26/01/2023,ETANOL,ALESAT,4.42
NE,23/01/2023,GASOLINA ADITIVADA,FAN,4.98
NE,03/01/2023,ETANOL,SETTA DISTRIBUIDORA,3.89
NE,02/01/2023,GASOLINA,SABBÁ,5.27
NE,17/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.22
NE,17/01/2023,DIESEL,LARCO,5.98
NE,24/01/2023,DIESEL S10,VIBRA ENERGIA,6.5
NE,26/01/2023,DIESEL S10,VIBRA ENERGIA,6.62
NE,09/01/2023,GASOLINA ADITIVADA,BRANCA,5.37
NE,09/01/2023,GASOLINA,ALESAT,5.1
NE,19/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.38
NE,25/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.38
NE,11/01/2023,DIESEL S10,IPIRANGA,6.53
NE,17/01/2023,DIESEL S10,BRANCA,6.4
NE,19/01/2023,DIESEL S10,ALESAT,6.55
NE,17/01/2023,DIESEL,SP,6.15
NE,17/01/2023,GASOLINA,PETROBAHIA,5.3
NE,26/01/2023,GASOLINA ADITIVADA,SP,5.66
NE,11/01/2023,DIESEL,SABBÁ,6.47
NE,05/01/2023,DIESEL S10,IPIRANGA,6.48
NE,10/01/2023,GASOLINA,RAIZEN,5.29
NE,11/01/2023,GNV,IPIRANGA,4.42
NE,17/01/2023,DIESEL S10,ALESAT,6.38
NE,17/01/2023,ETANOL,TDC DISTRIBUIDORA,3.99
NE,18/01/2023,GNV,IPIRANGA,4.37
NE,25/01/2023,ETANOL,SABBÁ,4.11
NE,04/01/2023,ETANOL,IPIRANGA,4.48
NE,24/01/2023,GNV,IPIRANGA,4.42
NE,25/01/2023,DIESEL S10,IPIRANGA,6.3
NE,23/01/2023,DIESEL S10,ALESAT,6.48
NE,05/01/2023,DIESEL,BRANCA,6.72
NE,12/01/2023,GASOLINA ADITIVADA,FAN,5.19
NE,16/01/2023,DIESEL S10,ALESAT,6.72
NE,19/01/2023,DIESEL S10,IPIRANGA,6.32
NE,16/01/2023,ETANOL,SP,4.49
NE,16/01/2023,GASOLINA,TDC DISTRIBUIDORA,4.79
NE,25/01/2023,GNV,IPIRANGA,4.31
NE,04/01/2023,ETANOL,FAN,4.09
NE,11/01/2023,ETANOL,VIBRA ENERGIA,4.24
NE,11/01/2023,DIESEL,IPIRANGA,6.46
NE,18/01/2023,DIESEL S10,SABBÁ,6.53
NE,18/01/2023,DIESEL,RAIZEN,6.34
NE,26/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.58
NE,25/01/2023,DIESEL S10,RAIZEN,6.35
NE,23/01/2023,DIESEL S10,PETROX DISTRIBUIDORA,6.44
NE,23/01/2023,GASOLINA,SP,5.49
NE,05/01/2023,GASOLINA ADITIVADA,RAIZEN,5.9
NE,10/01/2023,DIESEL S10,BRANCA,6.53
NE,04/01/2023,GASOLINA,VIBRA ENERGIA,5.24
NE,02/01/2023,DIESEL S10,SABBÁ,6.74
NE,17/01/2023,GASOLINA ADITIVADA,SABBÁ,5.06
NE,23/01/2023,GASOLINA,RAIZEN,5.19
NE,02/01/2023,GASOLINA,IPIRANGA,5.43
NE,02/01/2023,GNV,BRANCA,4.27
NE,04/01/2023,DIESEL S10,FAN,6.61
NE,10/01/2023,DIESEL S10,IPIRANGA,6.67
NE,19/01/2023,GASOLINA,DISLUB,5.29
NE,19/01/2023,DIESEL,SABBÁ,6.29
NE,24/01/2023,DIESEL,IPIRANGA,6.41
NE,25/01/2023,GASOLINA,RAIZEN,5.18
NE,25/01/2023,GASOLINA ADITIVADA,SABBÁ,5.08
NE,02/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.21
NE,03/01/2023,ETANOL,IPIRANGA,4.23
NE,03/01/2023,DIESEL S10,TDC DISTRIBUIDORA,6.39
NE,04/01/2023,DIESEL,SP,6.55
NE,10/01/2023,DIESEL S10,SP,6.72
NE,03/01/2023,ETANOL,RAIZEN,4.27
NE,03/01/2023,GASOLINA,IPIRANGA,5.14
NE,05/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.41
NE,11/01/2023,ETANOL,PETROX DISTRIBUIDORA,4.15
NE,19/01/2023,DIESEL,BRANCA,6.47
NE,24/01/2023,GASOLINA,RAIZEN,5.03
NE,23/01/2023,ETANOL,SP,4.99
NE,04/01/2023,GASOLINA ADITIVADA,SABBÁ,5.16
NE,04/01/2023,DIESEL,FAN,6.49
NE,18/01/2023,GASOLINA,PETROX DISTRIBUIDORA,5.13
NE,23/01/2023,DIESEL,VIBRA ENERGIA,6.37
NE,02/01/2023,GASOLINA ADITIVADA,RAIZEN,5.24
NE,02/01/2023,GASOLINA,RAIZEN,5.03
NE,12/01/2023,ETANOL,LARCO,4.36
NE,09/01/2023,GASOLINA ADITIVADA,FAN,4.89
NE,17/01/2023,DIESEL,PETROBAHIA,6.04
NE,24/01/2023,ETANOL,IPIRANGA,4.46
NE,10/01/2023,ETANOL,ALESAT,4.31
NE,18/01/2023,GASOLINA ADITIVADA,RAIZEN,5.64
NE,04/01/2023,GASOLINA ADITIVADA,DISLUB,4.98
NE,18/01/2023,ETANOL,ALESAT,4.52
NE,04/01/2023,ETANOL,ALESAT,4.29
NE,09/01/2023,GNV,BRANCA,4.21
NE,18/01/2023,GNV,RAIZEN,4.18
NE,17/01/2023,GASOLINA ADITIVADA,TDC DISTRIBUIDORA,4.79
NE,18/01/2023,DIESEL S10,TDC DISTRIBUIDORA,6.39
NE,02/01/2023,DIESEL,IPIRANGA,6.86
NE,04/01/2023,DIESEL,IPIRANGA,6.65
NE,06/01/2023,GASOLINA,PETROX DISTRIBUIDORA,5.19
NE,24/01/2023,GASOLINA ADITIVADA,RAIZEN,5.41
NE,03/01/2023,GASOLINA ADITIVADA,SABBÁ,5.1
NE,25/01/2023,GASOLINA ADITIVADA,ALESAT,5.06
NE,24/01/2023,ETANOL,PETROBAHIA,4.78
NE,04/01/2023,GASOLINA,ALESAT,5.04
NE,11/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.27
NE,23/01/2023,ETANOL,BRANCA,4.26
NE,25/01/2023,GASOLINA,SP,5.56
NE,11/01/2023,DIESEL,RAIZEN,6.59
NE,10/01/2023,GASOLINA ADITIVADA,SABBÁ,5.24
NE,09/01/2023,DIESEL,ALESAT,6.98
NE,19/01/2023,DIESEL S10,VIBRA ENERGIA,6.48
NE,17/01/2023,ETANOL,IPIRANGA,4.3
NE,24/01/2023,GASOLINA,IPIRANGA,5.24
NE,03/01/2023,GASOLINA,SETTA DISTRIBUIDORA,4.82
NE,03/01/2023,ETANOL,TDC DISTRIBUIDORA,3.96
NE,12/01/2023,GASOLINA,LARCO,5.36
NE,23/01/2023,DIESEL S10,VIBRA ENERGIA,6.42
NE,20/01/2023,GASOLINA,BRANCA,5.34
NE,09/01/2023,DIESEL,RAIZEN,6.59
NE,25/01/2023,GASOLINA,IPIRANGA,5.15
NE,24/01/2023,DIESEL S10,SP,6.99
NE,03/01/2023,ETANOL,FAN,4.11
NE,03/01/2023,GASOLINA,RAIZEN,5.17
NE,16/01/2023,GASOLINA,RAIZEN,5.22
NE,03/01/2023,DIESEL,RAIZEN,7.04
NE,11/01/2023,DIESEL S10,BRANCA,6.48
NE,17/01/2023,GASOLINA ADITIVADA,DISLUB,5.02
NE,05/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.45
NE,05/01/2023,DIESEL,ALESAT,6.76
NE,03/01/2023,GNV,DISLUB,3.99
NE,02/01/2023,DIESEL,ALESAT,6.95
NE,09/01/2023,GASOLINA,DISLUB,4.89
NE,11/01/2023,GASOLINA,SP,5.59
NE,04/01/2023,GNV,VIBRA ENERGIA,4.3
NE,06/01/2023,ETANOL,VIBRA ENERGIA,4.51
NE,11/01/2023,GASOLINA,TDC DISTRIBUIDORA,4.83
NE,19/01/2023,DIESEL S10,DISLUB,6.39
NE,18/01/2023,ETANOL,FAN,4.19
NE,26/01/2023,DIESEL S10,DISLUB,7.5
NE,24/01/2023,DIESEL S10,ALESAT,6.49
NE,04/01/2023,DIESEL S10,BRANCA,6.66
NE,17/01/2023,GASOLINA,ALESAT,5.09
NE,04/01/2023,GASOLINA ADITIVADA,TDC DISTRIBUIDORA,4.88
NE,04/01/2023,ETANOL,SP,4.64
NE,17/01/2023,GASOLINA,SABBÁ,4.7
NE,25/01/2023,GASOLINA,PETROBAHIA,5.21
NE,09/01/2023,DIESEL S10,IPIRANGA,6.79
NE,18/01/2023,DIESEL,BRANCA,6.41
NE,03/01/2023,GASOLINA ADITIVADA,RAIZEN,5.53
NE,10/01/2023,GASOLINA,DISLUB,5.14
