Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
SE,26/01/2023,DIESEL,IPIRANGA,6.2
SE,24/01/2023,GASOLINA ADITIVADA,RAIZEN,5.28
SE,25/01/2023,DIESEL,CIAPETRO,5.84
SE,17/01/2023,DIESEL S10,BRANCA,6.24
SE,17/01/2023,ETANOL,TOTALENERGIES,3.74
SE,12/01/2023,DIESEL S10,BRANCA,6.25
SE,26/01/2023,GASOLINA,D`MAIS,4.85
SE,10/01/2023,DIESEL S10,ALESAT,6.51
SE,13/01/2023,DIESEL,RAIZEN,6.17
SE,04/01/2023,ETANOL,IPIRANGA,4.12
SE,05/01/2023,DIESEL,RIO BRANCO,6.18
SE,09/01/2023,ETANOL,IPIRANGA,4.03
SE,18/01/2023,DIESEL S10,BRANCA,6.21
SE,23/01/2023,ETANOL,IPIRANGA,3.85
SE,02/01/2023,DIESEL S10,ALESAT,6.52
SE,04/01/2023,DIESEL S10,BRANCA,6.26
SE,10/01/2023,GNV,VIBRA ENERGIA,5.03
SE,10/01/2023,GASOLINA,ATLÂNTICA,4.89
SE,24/01/2023,DIESEL,ATLÂNTICA,5.87
SE,05/01/2023,ETANOL,RAIZEN,3.98
SE,09/01/2023,GASOLINA,D`MAIS,4.77
SE,20/01/2023,GASOLINA ADITIVADA,RAIZEN,5.31
SE,25/01/2023,ETANOL,VIBRA ENERGIA,4.13
SE,05/01/2023,GNV,IPIRANGA,5.12
SE,11/01/2023,GASOLINA ADITIVADA,ATLÂNTICA,5.49
SE,11/01/2023,GASOLINA,ATLÂNTICA,5.49
SE,05/01/2023,GASOLINA ADITIVADA,RAIZEN,5.31
SE,05/01/2023,GASOLINA,TOTALENERGIES,5.17
SE,03/01/2023,DIESEL S10,CIAPETRO,6.47
SE,11/01/2023,GASOLINA ADITIVADA,ALESAT,5.41
SE,18/01/2023,DIESEL,ATLÂNTICA,6.59
SE,13/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.26
SE,17/01/2023,GASOLINA ADITIVADA,RAIZEN,5.23
SE,25/01/2023,DIESEL S10,BRANCA,6.24
SE,03/01/2023,ETANOL,IPIRANGA,4.08
SE,18/01/2023,DIESEL S10,IPIRANGA,6.55
SE,18/01/2023,GASOLINA ADITIVADA,BRANCA,4.94
SE,23/01/2023,DIESEL S10,TOTALENERGIES,6.39
SE,03/01/2023,GASOLINA ADITIVADA,ALESAT,5.25
SE,03/01/2023,GNV,IPIRANGA,5.13
SE,12/01/2023,DIESEL S10,IPIRANGA,6.58
SE,17/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.29
SE,02/01/2023,GNV,VIBRA ENERGIA,5.07
SE,10/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.26
SE,13/01/2023,ETANOL,BRANCA,3.72
SE,13/01/2023,GASOLINA,BRANCA,4.71
SE,10/01/2023,ETANOL,RIO BRANCO,3.96
SE,03/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.31
SE,05/01/2023,DIESEL S10,ALESAT,6.92
SE,10/01/2023,DIESEL,IPIRANGA,6.42
SE,05/01/2023,DIESEL S10,RAIZEN,6.54
SE,11/01/2023,DIESEL S10,ALESAT,6.49
SE,26/01/2023,DIESEL,D`MAIS,6.09
SE,03/01/2023,GASOLINA ADITIVADA,RAIZEN,5.41
SE,04/01/2023,GASOLINA ADITIVADA,RAIZEN,5.35
SE,05/01/2023,ETANOL,IPIRANGA,3.97
SE,19/01/2023,DIESEL S10,BRANCA,6.18
SE,17/01/2023,DIESEL S10,ALESAT,6.45
SE,18/01/2023,GASOLINA,ALESAT,4.97
SE,12/01/2023,GASOLINA,BRANCA,4.87
SE,18/01/2023,ETANOL,RAIZEN,3.93
SE,05/01/2023,DIESEL,BRANCA,6.19
SE,12/01/2023,DIESEL S10,CIAPETRO,5.84
SE,12/01/2023,ETANOL,ATLÂNTICA,4.6
SE,20/01/2023,ETANOL,D`MAIS,3.57
SE,20/01/2023,GNV,VIBRA ENERGIA,5.27
SE,12/01/2023,GASOLINA,TAURUS,4.97
SE,04/01/2023,DIESEL S10,TOTALENERGIES,5.99
SE,20/01/2023,GASOLINA ADITIVADA,ALESAT,4.97
SE,23/01/2023,DIESEL,BRANCA,6.05
SE,09/01/2023,GASOLINA,VIBRA ENERGIA,5.01
SE,18/01/2023,GASOLINA,BRANCA,4.78
SE,24/01/2023,GASOLINA,BRANCA,4.79
SE,25/01/2023,GASOLINA ADITIVADA,ATLÂNTICA,5.04
SE,25/01/2023,GNV,IPIRANGA,5.43
SE,02/01/2023,ETANOL,VIBRA ENERGIA,4.19
SE,03/01/2023,GASOLINA ADITIVADA,BRANCA,5.11
SE,11/01/2023,DIESEL,VIBRA ENERGIA,6.47
SE,09/01/2023,GNV,ALESAT,4.89
SE,04/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.3
SE,25/01/2023,ETANOL,TAURUS,3.87
SE,12/01/2023,ETANOL,TAURUS,3.97
SE,23/01/2023,GASOLINA,ATLÂNTICA,5.01
SE,04/01/2023,DIESEL S10,ATLÂNTICA,6.39
SE,02/01/2023,GASOLINA ADITIVADA,D`MAIS,4.89
SE,11/01/2023,GASOLINA,ALESAT,5.08
SE,16/01/2023,GASOLINA,ALESAT,4.94
SE,18/01/2023,DIESEL,IPIRANGA,6.41
SE,25/01/2023,ETANOL,BRANCA,3.78
SE,02/01/2023,ETANOL,D`MAIS,3.87
SE,05/01/2023,DIESEL,TOTALENERGIES,6.25
SE,11/01/2023,GASOLINA ADITIVADA,RAIZEN,5.31
SE,09/01/2023,GASOLINA,TOTALENERGIES,5.03
SE,25/01/2023,GASOLINA,BRANCA,4.84
SE,03/01/2023,DIESEL,IPIRANGA,6.35
SE,12/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.1
SE,09/01/2023,GASOLINA ADITIVADA,ALESAT,5.18
SE,20/01/2023,DIESEL S10,D`MAIS,6.19
SE,24/01/2023,GASOLINA,RAIZEN,4.92
SE,03/01/2023,GNV,BRANCA,5.04
SE,10/01/2023,DIESEL,RAIZEN,6.37
SE,11/01/2023,ETANOL,VIBRA ENERGIA,4.13
SE,13/01/2023,GASOLINA ADITIVADA,RAIZEN,5.25
SE,16/01/2023,GASOLINA ADITIVADA,ATLÂNTICA,5.06
SE,11/01/2023,GNV,VIBRA ENERGIA,4.98
SE,09/01/2023,ETANOL,RAIZEN,3.99
SE,16/01/2023,GNV,RAIZEN,4.81
SE,18/01/2023,ETANOL,BRANCA,3.77
SE,25/01/2023,ETANOL,RAIZEN,3.86
SE,10/01/2023,GASOLINA ADITIVADA,ALESAT,5.22
SE,11/01/2023,GNV,IPIRANGA,4.93
SE,24/01/2023,GNV,VIBRA ENERGIA,4.98
SE,05/01/2023,DIESEL,IPIRANGA,6.47
SE,13/01/2023,ETANOL,IPIRANGA,4.0
SE,18/01/2023,DIESEL S10,ATLÂNTICA,6.73
SE,02/01/2023,DIESEL,BRANCA,6.22
SE,25/01/2023,GASOLINA,TOTALENERGIES,5.08
SE,24/01/2023,GASOLINA ADITIVADA,TOTALENERGIES,5.07
SE,03/01/2023,GASOLINA,BRANCA,4.96
SE,12/01/2023,GNV,IPIRANGA,4.8
SE,12/01/2023,GNV,RAIZEN,4.68
SE,16/01/2023,DIESEL,BRANCA,6.1
SE,26/01/2023,ETANOL,IPIRANGA,3.75
SE,04/01/2023,GASOLINA,BRANCA,4.9
SE,03/01/2023,ETANOL,ATLÂNTICA,3.89
SE,26/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.22
SE,09/01/2023,DIESEL,BRANCA,6.17
SE,20/01/2023,GASOLINA,D`MAIS,4.67
SE,12/01/2023,GASOLINA ADITIVADA,ALESAT,5.02
SE,16/01/2023,GASOLINA,BRANCA,4.83
SE,19/01/2023,GASOLINA ADITIVADA,RIO BRANCO,4.99
SE,09/01/2023,GASOLINA ADITIVADA,TOTALENERGIES,4.99
SE,25/01/2023,GASOLINA ADITIVADA,BRANCA,5.01
SE,02/01/2023,DIESEL S10,IPIRANGA,6.64
SE,19/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.07
SE,24/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.25
SE,02/01/2023,GASOLINA,IPIRANGA,5.3
SE,19/01/2023,GASOLINA ADITIVADA,BRANCA,4.92
SE,18/01/2023,DIESEL,CIAPETRO,5.84
SE,16/01/2023,DIESEL S10,RIO BRANCO,6.26
SE,24/01/2023,GASOLINA,ALESAT,4.93
SE,02/01/2023,DIESEL S10,RAIZEN,6.53
SE,16/01/2023,GASOLINA,VIBRA ENERGIA,5.03
SE,16/01/2023,ETANOL,RAIZEN,3.94
SE,17/01/2023,GASOLINA ADITIVADA,BRANCA,4.98
SE,26/01/2023,DIESEL S10,BRANCA,6.19
