Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
N,24/01/2023,DIESEL,EQUADOR,7.46
N,11/01/2023,ETANOL,VIBRA ENERGIA,4.24
N,11/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.25
N,17/01/2023,DIESEL S10,IPIRANGA,6.89
N,16/01/2023,ETANOL,IPIRANGA,4.34
N,23/01/2023,DIESEL S10,EQUADOR,6.69
N,18/01/2023,GASOLINA,VIBRA ENERGIA,5.25
N,16/01/2023,GASOLINA ADITIVADA,EQUADOR,4.99
N,02/01/2023,GASOLINA ADITIVADA,ALESAT,5.3
N,16/01/2023,DIESEL S10,SABBÁ,6.79
N,18/01/2023,DIESEL S10,IPIRANGA,6.61
N,24/01/2023,GASOLINA ADITIVADA,BRANCA,5.19
N,03/01/2023,GASOLINA,IPIRANGA,5.28
N,10/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.22
N,10/01/2023,DIESEL S10,VIBRA ENERGIA,6.99
N,16/01/2023,DIESEL S10,IPIRANGA,6.92
N,16/01/2023,ETANOL,SIMARELLI,4.49
N,23/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.38
N,04/01/2023,DIESEL S10,EQUADOR,7.49
N,10/01/2023,GASOLINA ADITIVADA,ATEM' S,5.13
N,12/01/2023,DIESEL S10,SABBÁ,6.89
N,23/01/2023,GASOLINA,IPIRANGA,5.2
N,16/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.35
N,17/01/2023,ETANOL,ATEM' S,3.87
N,25/01/2023,DIESEL S10,VIBRA ENERGIA,6.88
N,25/01/2023,ETANOL,BRANCA,4.28
N,05/01/2023,DIESEL S10,EQUADOR,7.49
N,25/01/2023,GASOLINA,IPIRANGA,5.41
N,24/01/2023,DIESEL S10,BRANCA,6.47
N,18/01/2023,DIESEL,BRANCA,6.86
N,23/01/2023,DIESEL S10,VIBRA ENERGIA,6.93
N,02/01/2023,ETANOL,BRANCA,4.34
N,03/01/2023,ETANOL,ATEM' S,4.03
N,11/01/2023,GASOLINA ADITIVADA,BRANCA,5.54
N,23/01/2023,ETANOL,ATEM' S,3.86
N,04/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.39
N,11/01/2023,DIESEL S10,BRANCA,7.2
N,19/01/2023,DIESEL S10,ATEM' S,7.24
N,05/01/2023,DIESEL S10,BRANCA,6.48
N,02/01/2023,DIESEL S10,ALESAT,6.55
N,24/01/2023,ETANOL,ATEM' S,3.99
N,26/01/2023,DIESEL S10,RAIZEN,6.84
N,11/01/2023,ETANOL,SABBÁ,3.99
N,05/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.99
N,10/01/2023,DIESEL,RAIZEN,6.27
N,16/01/2023,GASOLINA ADITIVADA,ATEM' S,4.99
N,04/01/2023,GASOLINA ADITIVADA,BRANCA,5.37
N,10/01/2023,ETANOL,ATEM' S,3.97
N,23/01/2023,ETANOL,EQUADOR,4.29
N,23/01/2023,DIESEL S10,SIMARELLI,6.99
N,03/01/2023,DIESEL S10,ATEM' S,6.92
N,02/01/2023,GASOLINA,EQUADOR,4.99
N,12/01/2023,GASOLINA,VIBRA ENERGIA,4.9
N,16/01/2023,GASOLINA ADITIVADA,SIMARELLI,5.33
N,24/01/2023,DIESEL,SABBÁ,6.72
N,02/01/2023,DIESEL S10,VIBRA ENERGIA,7.0
N,24/01/2023,ETANOL,SABBÁ,4.76
N,02/01/2023,DIESEL S10,SABBÁ,6.79
N,05/01/2023,DIESEL S10,VIBRA ENERGIA,6.67
N,25/01/2023,GASOLINA,VIBRA ENERGIA,5.43
N,23/01/2023,DIESEL S10,BRANCA,6.57
N,24/01/2023,DIESEL S10,RAIZEN,6.16
N,04/01/2023,GASOLINA ADITIVADA,SABBÁ,5.14
N,10/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.44
N,05/01/2023,GASOLINA,BRANCA,4.83
N,09/01/2023,ETANOL,VIBRA ENERGIA,4.46
N,09/01/2023,ETANOL,ATEM' S,3.96
N,18/01/2023,GASOLINA ADITIVADA,SABBÁ,5.14
N,09/01/2023,GASOLINA ADITIVADA,EQUADOR,4.99
N,09/01/2023,GASOLINA ADITIVADA,SABBÁ,5.46
N,10/01/2023,GNV,ATEM' S,4.19
N,19/01/2023,GASOLINA,SABBÁ,5.05
N,18/01/2023,DIESEL S10,SABBÁ,7.24
N,23/01/2023,ETANOL,IPIRANGA,4.59
N,03/01/2023,DIESEL,SABBÁ,6.75
N,19/01/2023,GASOLINA ADITIVADA,SABBÁ,5.32
N,16/01/2023,GASOLINA,BRANCA,5.06
N,17/01/2023,DIESEL,EQUADOR,6.75
N,23/01/2023,GASOLINA ADITIVADA,SIMARELLI,5.19
N,24/01/2023,DIESEL S10,IPIRANGA,6.72
N,04/01/2023,DIESEL S10,BRANCA,7.07
N,03/01/2023,GASOLINA,EQUADOR,5.08
N,25/01/2023,DIESEL S10,BRANCA,7.01
N,24/01/2023,GASOLINA ADITIVADA,SABBÁ,5.19
N,03/01/2023,DIESEL S10,EQUADOR,6.75
N,04/01/2023,GASOLINA ADITIVADA,ATEM' S,6.0
N,17/01/2023,DIESEL S10,BRANCA,6.42
N,25/01/2023,GASOLINA,EQUADOR,5.69
N,03/01/2023,DIESEL,VIBRA ENERGIA,7.06
N,10/01/2023,GASOLINA ADITIVADA,EQUADOR,4.99
N,16/01/2023,GASOLINA,ATEM' S,4.99
N,05/01/2023,ETANOL,IPIRANGA,4.39
N,03/01/2023,GASOLINA,BRANCA,5.09
N,02/01/2023,DIESEL,IPIRANGA,7.15
N,02/01/2023,DIESEL,SIMARELLI,6.77
N,09/01/2023,DIESEL S10,VIBRA ENERGIA,7.01
N,12/01/2023,ETANOL,IPIRANGA,4.39
N,03/01/2023,ETANOL,BRANCA,4.55
N,09/01/2023,ETANOL,BRANCA,4.31
N,04/01/2023,GASOLINA,VIBRA ENERGIA,5.32
N,03/01/2023,GASOLINA ADITIVADA,EQUADOR,5.17
N,04/01/2023,GASOLINA ADITIVADA,RAIZEN,5.55
N,13/01/2023,GASOLINA,IPIRANGA,4.68
N,25/01/2023,ETANOL,IPIRANGA,4.49
N,16/01/2023,GASOLINA,IPIRANGA,5.1
N,03/01/2023,DIESEL S10,VIBRA ENERGIA,7.1
N,11/01/2023,DIESEL S10,VIBRA ENERGIA,6.7
N,19/01/2023,GASOLINA,ATEM' S,5.2
N,16/01/2023,DIESEL,ALESAT,6.44
N,23/01/2023,ETANOL,SABBÁ,4.53
N,25/01/2023,GASOLINA,ATEM' S,5.99
N,18/01/2023,DIESEL,VIBRA ENERGIA,7.04
N,25/01/2023,GASOLINA ADITIVADA,BRANCA,5.61
N,02/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.32
N,05/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.23
N,17/01/2023,GASOLINA,VIBRA ENERGIA,5.22
N,03/01/2023,GNV,ATEM' S,4.19
N,12/01/2023,GASOLINA,IPIRANGA,5.03
N,16/01/2023,DIESEL,SABBÁ,6.65
N,24/01/2023,DIESEL,BRANCA,6.5
N,03/01/2023,DIESEL,BRANCA,6.81
N,19/01/2023,DIESEL S10,SABBÁ,7.05
N,17/01/2023,DIESEL S10,ATEM' S,6.62
N,03/01/2023,DIESEL S10,SABBÁ,6.88
N,05/01/2023,GASOLINA,EQUADOR,5.99
N,04/01/2023,DIESEL S10,IPIRANGA,6.85
N,03/01/2023,GASOLINA,SABBÁ,5.18
N,13/01/2023,GASOLINA,BRANCA,4.54
N,03/01/2023,ETANOL,EQUADOR,4.29
N,10/01/2023,ETANOL,BRANCA,4.27
N,25/01/2023,DIESEL,SABBÁ,6.4
N,05/01/2023,GASOLINA ADITIVADA,SABBÁ,5.12
N,19/01/2023,DIESEL,VIBRA ENERGIA,6.85
N,09/01/2023,DIESEL,ATEM' S,6.74
N,17/01/2023,DIESEL,BRANCA,6.51
N,19/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.12
N,19/01/2023,DIESEL,EQUADOR,7.46
N,05/01/2023,ETANOL,VIBRA ENERGIA,4.39
N,02/01/2023,ETANOL,RAIZEN,4.74
N,02/01/2023,ETANOL,SIMARELLI,4.49
N,09/01/2023,DIESEL,SIMARELLI,7.19
N,24/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.15
N,04/01/2023,DIESEL,ATEM' S,7.19
N,12/01/2023,GASOLINA,BRANCA,4.82
N,19/01/2023,DIESEL S10,IPIRANGA,7.24
N,09/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.4
N,10/01/2023,GASOLINA,EQUADOR,4.93
N,24/01/2023,DIESEL S10,ATEM' S,6.7
N,11/01/2023,ETANOL,IPIRANGA,4.42
N,16/01/2023,DIESEL,IPIRANGA,6.99
N,23/01/2023,GASOLINA ADITIVADA,EQUADOR,4.99
N,09/01/2023,GASOLINA ADITIVADA,BRANCA,5.34
N,09/01/2023,DIESEL S10,ATEM' S,6.83
N,18/01/2023,ETANOL,IPIRANGA,3.99
N,17/01/2023,DIESEL,VIBRA ENERGIA,6.87
N,17/01/2023,DIESEL S10,VIBRA ENERGIA,7.17
N,16/01/2023,ETANOL,VIBRA ENERGIA,4.36
N,16/01/2023,DIESEL,SIMARELLI,6.95
N,02/01/2023,ETANOL,IPIRANGA,4.51
N,17/01/2023,DIESEL,RAIZEN,6.15
N,11/01/2023,DIESEL,BRANCA,7.03
N,17/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.44
N,16/01/2023,DIESEL S10,SIMARELLI,6.99
N,18/01/2023,ETANOL,BRANCA,4.48
N,13/01/2023,GASOLINA,VIBRA ENERGIA,4.54
N,17/01/2023,GASOLINA ADITIVADA,SABBÁ,5.27
N,25/01/2023,DIESEL,IPIRANGA,6.75
N,02/01/2023,ETANOL,ATEM' S,3.99
N,09/01/2023,ETANOL,SIMARELLI,4.49
N,18/01/2023,GASOLINA,IPIRANGA,4.81
N,26/01/2023,DIESEL,IPIRANGA,6.7
N,19/01/2023,DIESEL S10,VIBRA ENERGIA,7.18
N,16/01/2023,ETANOL,ALESAT,4.27
N,03/01/2023,GASOLINA,VIBRA ENERGIA,5.18
N,17/01/2023,GNV,ATEM' S,4.19
N,23/01/2023,DIESEL S10,IPIRANGA,7.15
N,26/01/2023,DIESEL S10,VIBRA ENERGIA,6.6
N,23/01/2023,ETANOL,SIMARELLI,4.49
N,24/01/2023,DIESEL,RAIZEN,6.07
N,10/01/2023,DIESEL,IPIRANGA,6.95
N,17/01/2023,GASOLINA,IPIRANGA,5.15
N,17/01/2023,GASOLINA ADITIVADA,BRANCA,5.12
N,09/01/2023,DIESEL S10,ALESAT,6.58
N,19/01/2023,ETANOL,VIBRA ENERGIA,4.53
N,25/01/2023,DIESEL S10,IPIRANGA,6.87
N,24/01/2023,GASOLINA ADITIVADA,RAIZEN,5.48
N,05/01/2023,DIESEL,VIBRA ENERGIA,6.57
N,04/01/2023,DIESEL S10,RAIZEN,6.64
N,11/01/2023,GASOLINA,IPIRANGA,5.29
N,09/01/2023,DIESEL S10,SABBÁ,7.16
N,19/01/2023,DIESEL,ATEM' S,7.19
N,17/01/2023,ETANOL,BRANCA,4.29
N,24/01/2023,GASOLINA,SABBÁ,4.9
N,09/01/2023,DIESEL,ALESAT,6.39
N,19/01/2023,DIESEL,BRANCA,6.6
N,23/01/2023,DIESEL S10,SABBÁ,6.75
N,02/01/2023,DIESEL,SABBÁ,6.85
N,10/01/2023,GASOLINA ADITIVADA,RAIZEN,5.39
N,19/01/2023,GASOLINA,IPIRANGA,5.34
N,23/01/2023,DIESEL,BRANCA,6.52
N,23/01/2023,GASOLINA ADITIVADA,ALESAT,5.29
N,16/01/2023,DIESEL S10,ALESAT,6.55
N,24/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.32
N,23/01/2023,DIESEL,VIBRA ENERGIA,6.74
N,12/01/2023,DIESEL S10,IPIRANGA,7.03
N,10/01/2023,DIESEL,BRANCA,6.7
N,10/01/2023,DIESEL,EQUADOR,6.67
N,16/01/2023,GASOLINA,EQUADOR,4.99
N,17/01/2023,GASOLINA,RAIZEN,4.96
N,26/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.73
N,12/01/2023,DIESEL,VIBRA ENERGIA,6.8
N,12/01/2023,GASOLINA ADITIVADA,BRANCA,5.58
N,17/01/2023,GASOLINA ADITIVADA,ATEM' S,5.11
N,05/01/2023,ETANOL,SABBÁ,4.39
N,03/01/2023,DIESEL,ATEM' S,6.82
N,19/01/2023,DIESEL S10,BRANCA,6.43
N,04/01/2023,ETANOL,BRANCA,4.36
N,12/01/2023,DIESEL S10,VIBRA ENERGIA,7.15
N,10/01/2023,GASOLINA,SABBÁ,4.85
N,19/01/2023,ETANOL,SABBÁ,4.39
N,23/01/2023,DIESEL,SABBÁ,6.81
N,03/01/2023,DIESEL S10,BRANCA,6.87
N,12/01/2023,DIESEL S10,BRANCA,6.82
N,16/01/2023,ETANOL,SABBÁ,4.21
N,24/01/2023,GASOLINA,BRANCA,4.89
N,09/01/2023,DIESEL S10,IPIRANGA,7.08
N,18/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.33
N,10/01/2023,DIESEL S10,IPIRANGA,6.9
N,13/01/2023,DIESEL,VIBRA ENERGIA,6.36
N,04/01/2023,GASOLINA,IPIRANGA,5.29
N,25/01/2023,DIESEL,BRANCA,6.96
N,26/01/2023,GASOLINA,RAIZEN,5.17
