Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
CO,19/01/2023,DIESEL,MASUT DISTRIBUIDORA,6.39
CO,26/01/2023,GASOLINA,IPIRANGA,4.84
CO,04/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.25
CO,02/01/2023,ETANOL,RAIZEN,3.89
CO,04/01/2023,GASOLINA,MASUT DISTRIBUIDORA,4.95
CO,11/01/2023,DIESEL S10,VIBRA ENERGIA,6.67
CO,16/01/2023,GASOLINA,BRANCA,4.86
CO,26/01/2023,ETANOL,MASUT DISTRIBUIDORA,3.65
CO,25/01/2023,ETANOL,MASUT DISTRIBUIDORA,3.79
CO,05/01/2023,DIESEL S10,ALESAT,6.1
CO,03/01/2023,GASOLINA,VIBRA ENERGIA,4.97
CO,11/01/2023,DIESEL S10,BRANCA,6.39
CO,09/01/2023,DIESEL S10,IPIRANGA,6.76
CO,04/01/2023,DIESEL,VIBRA ENERGIA,6.39
CO,03/01/2023,DIESEL S10,MASUT DISTRIBUIDORA,6.49
CO,19/01/2023,ETANOL,ALESAT,3.57
CO,18/01/2023,DIESEL,MASUT DISTRIBUIDORA,6.38
CO,24/01/2023,ETANOL,BRANCA,3.7
CO,26/01/2023,DIESEL S10,RIO BRANCO,6.09
CO,10/01/2023,DIESEL,VIBRA ENERGIA,6.75
CO,11/01/2023,DIESEL,MASUT DISTRIBUIDORA,6.39
CO,18/01/2023,DIESEL,BRANCA,6.19
CO,20/01/2023,GASOLINA,IPIRANGA,4.59
CO,16/01/2023,GASOLINA,VIBRA ENERGIA,4.88
CO,24/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.87
CO,25/01/2023,GASOLINA ADITIVADA,RAIZEN,5.15
CO,05/01/2023,DIESEL S10,VIBRA ENERGIA,6.71
CO,06/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.79
CO,04/01/2023,GASOLINA,ALESAT,5.15
CO,09/01/2023,DIESEL,VIBRA ENERGIA,6.68
CO,10/01/2023,DIESEL S10,BRANCA,6.45
CO,12/01/2023,DIESEL,VIBRA ENERGIA,6.3
CO,12/01/2023,GASOLINA,MASUT DISTRIBUIDORA,4.99
CO,12/01/2023,DIESEL,TAURUS,6.39
CO,23/01/2023,DIESEL,BRANCA,6.26
CO,12/01/2023,DIESEL,ALESAT,5.94
CO,17/01/2023,GASOLINA,BRANCA,4.89
CO,18/01/2023,ETANOL,VIBRA ENERGIA,3.88
CO,17/01/2023,DIESEL,BRANCA,6.25
CO,17/01/2023,DIESEL S10,TAURUS,6.49
CO,16/01/2023,DIESEL S10,TAURUS,6.2
CO,26/01/2023,ETANOL,BRANCA,3.57
CO,26/01/2023,DIESEL S10,MASUT DISTRIBUIDORA,6.16
CO,03/01/2023,ETANOL,MASUT DISTRIBUIDORA,3.99
CO,10/01/2023,DIESEL S10,IPIRANGA,6.88
CO,10/01/2023,GASOLINA,VIBRA ENERGIA,5.12
CO,11/01/2023,ETANOL,RIO BRANCO,3.79
CO,19/01/2023,GASOLINA,VIBRA ENERGIA,4.92
CO,17/01/2023,GNV,BRANCA,4.27
CO,25/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.98
CO,25/01/2023,GASOLINA,BRANCA,4.76
CO,26/01/2023,GNV,BRANCA,4.99
CO,23/01/2023,ETANOL,BRANCA,3.64
CO,05/01/2023,GASOLINA,ALESAT,5.05
CO,02/01/2023,ETANOL,BRANCA,3.85
CO,09/01/2023,GASOLINA,BRANCA,4.97
CO,18/01/2023,DIESEL S10,RAIZEN,6.47
CO,26/01/2023,DIESEL,ALESAT,5.99
CO,10/01/2023,ETANOL,BRANCA,3.78
CO,12/01/2023,DIESEL,BRANCA,6.23
CO,16/01/2023,DIESEL S10,VIBRA ENERGIA,6.55
CO,23/01/2023,ETANOL,RAIZEN,3.95
CO,04/01/2023,ETANOL,MASUT DISTRIBUIDORA,3.89
CO,18/01/2023,DIESEL S10,TAURUS,6.47
CO,05/01/2023,DIESEL S10,IPIRANGA,6.55
CO,17/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.19
CO,18/01/2023,ETANOL,IPIRANGA,3.89
CO,16/01/2023,DIESEL,TAURUS,6.1
CO,19/01/2023,DIESEL,RIO BRANCO,5.99
CO,18/01/2023,DIESEL S10,ALESAT,6.35
CO,16/01/2023,DIESEL,BRANCA,6.25
CO,05/01/2023,ETANOL,RIO BRANCO,3.98
CO,11/01/2023,GASOLINA,MASUT DISTRIBUIDORA,5.05
CO,16/01/2023,ETANOL,IPIRANGA,3.88
CO,02/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.54
CO,12/01/2023,ETANOL,ALESAT,3.81
CO,18/01/2023,GASOLINA,RAIZEN,4.86
CO,03/01/2023,GNV,VIBRA ENERGIA,4.99
CO,12/01/2023,DIESEL S10,IPIRANGA,6.54
CO,17/01/2023,GASOLINA,RAIZEN,4.88
CO,17/01/2023,ETANOL,RIO BRANCO,3.79
CO,19/01/2023,DIESEL,ALESAT,6.39
CO,24/01/2023,GASOLINA ADITIVADA,RAIZEN,5.14
CO,23/01/2023,DIESEL S10,RAIZEN,6.71
CO,25/01/2023,DIESEL S10,MASUT DISTRIBUIDORA,6.44
CO,11/01/2023,GASOLINA,VIBRA ENERGIA,5.08
CO,10/01/2023,GASOLINA,BRANCA,4.95
CO,12/01/2023,GASOLINA,SIMARELLI,4.86
CO,09/01/2023,ETANOL,IPIRANGA,3.93
CO,23/01/2023,DIESEL S10,VIBRA ENERGIA,6.65
CO,26/01/2023,ETANOL,ROYAL FIC,3.65
CO,05/01/2023,DIESEL,BRANCA,6.27
CO,16/01/2023,GASOLINA,IPIRANGA,5.02
CO,26/01/2023,GASOLINA ADITIVADA,BRANCA,4.87
CO,05/01/2023,DIESEL,RAIZEN,6.22
CO,26/01/2023,ETANOL,CIAPETRO,3.49
CO,23/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.18
CO,04/01/2023,DIESEL S10,RAIZEN,6.71
CO,12/01/2023,GASOLINA ADITIVADA,BRANCA,5.19
CO,11/01/2023,DIESEL S10,MASUT DISTRIBUIDORA,6.49
CO,19/01/2023,DIESEL,IPIRANGA,6.33
CO,23/01/2023,DIESEL S10,BRANCA,6.33
CO,04/01/2023,DIESEL,ALESAT,6.14
CO,03/01/2023,ETANOL,TAURUS,3.89
CO,10/01/2023,DIESEL S10,RAIZEN,6.46
CO,23/01/2023,GASOLINA,IPIRANGA,4.93
CO,02/01/2023,GASOLINA,VIBRA ENERGIA,5.11
CO,02/01/2023,GNV,BRANCA,3.19
CO,19/01/2023,GASOLINA ADITIVADA,RAIZEN,5.04
CO,17/01/2023,ETANOL,TAURUS,3.69
CO,23/01/2023,ETANOL,IPIRANGA,3.9
CO,03/01/2023,DIESEL,TAURUS,6.35
CO,17/01/2023,ETANOL,ROYAL FIC,3.79
CO,12/01/2023,ETANOL,RAIZEN,3.74
CO,12/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.98
CO,11/01/2023,ETANOL,MASUT DISTRIBUIDORA,3.92
CO,24/01/2023,DIESEL S10,VIBRA ENERGIA,6.79
CO,18/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.09
CO,17/01/2023,ETANOL,VIBRA ENERGIA,3.96
CO,17/01/2023,DIESEL,RAIZEN,6.46
CO,02/01/2023,GASOLINA,IPIRANGA,5.32
CO,16/01/2023,DIESEL S10,BRANCA,6.34
CO,25/01/2023,ETANOL,ALESAT,3.47
CO,04/01/2023,DIESEL S10,IPIRANGA,6.59
CO,03/01/2023,GASOLINA,RAIZEN,4.86
CO,03/01/2023,DIESEL,VIBRA ENERGIA,6.47
CO,17/01/2023,DIESEL S10,RAIZEN,6.58
CO,18/01/2023,DIESEL,ALESAT,5.99
CO,24/01/2023,GASOLINA,VIBRA ENERGIA,4.96
CO,26/01/2023,GASOLINA,VIBRA ENERGIA,4.95
CO,02/01/2023,ETANOL,TAURUS,4.19
CO,11/01/2023,GASOLINA ADITIVADA,RAIZEN,5.23
CO,09/01/2023,ETANOL,RAIZEN,3.72
CO,11/01/2023,DIESEL S10,RAIZEN,6.57
CO,09/01/2023,ETANOL,VIBRA ENERGIA,3.84
CO,16/01/2023,GASOLINA ADITIVADA,BRANCA,4.83
CO,18/01/2023,GASOLINA,VIBRA ENERGIA,4.98
CO,23/01/2023,GASOLINA ADITIVADA,TAURUS,5.14
CO,25/01/2023,GASOLINA ADITIVADA,MASUT DISTRIBUIDORA,4.75
CO,10/01/2023,DIESEL,IPIRANGA,6.71
CO,09/01/2023,DIESEL S10,VIBRA ENERGIA,6.73
CO,02/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.24
CO,11/01/2023,DIESEL,IPIRANGA,6.43
CO,25/01/2023,GASOLINA,IPIRANGA,4.85
CO,03/01/2023,DIESEL,IPIRANGA,6.55
CO,02/01/2023,DIESEL,TAURUS,6.29
CO,26/01/2023,DIESEL,RIO BRANCO,5.99
CO,11/01/2023,DIESEL,VIBRA ENERGIA,6.53
CO,11/01/2023,DIESEL,TAURUS,6.49
CO,18/01/2023,GASOLINA,BRANCA,4.88
CO,23/01/2023,GASOLINA,RAIZEN,4.98
CO,12/01/2023,DIESEL,RAIZEN,6.42
CO,12/01/2023,DIESEL S10,TAURUS,6.49
CO,16/01/2023,DIESEL,RAIZEN,6.45
